id,name,count
246,ALČER,24
247,ALČEROVÁ,25
248,ALDORF,96
249,ALDORFOVÁ,107
250,ALEKSOVÁ,11
251,ALENKA,20
252,ALENKOVÁ,21
253,ALEŠ,167
254,ALEŠOVÁ,161
255,ALEX,43
256,ALEXA,547
257,ALEXANDER,93
258,ALEXANDEROVÁ,51
259,ALEXANDR,35
260,ALEXANDROV,33
261,ALEXANDROVÁ,82
262,ALEXANDROVIČ,11
263,ALEXANDROVIČOVÁ,11
264,ALEXANDROVOVÁ,17
265,ALEXI,10
266,ALEXIJ,14
267,ALEXIJOVÁ,19
268,ALEXOVÁ,588
269,ALEXY,46
270,ALEXYOVÁ,23
271,ALFERI,43
272,ALFERIOVÁ,24
273,ALFERY,68
274,ALFERYOVÁ,45
275,ALFONSO,11
276,ALFÖLDI,30
277,ALFÖLDIOVÁ,18
278,ALGER,17
279,ALGEROVÁ,13
280,ALI,94
281,ALIGER,22
282,ALIGEROVÁ,28
283,ALIJA,10
284,ALIMI,11
285,ALINA,34
286,ALINČ,13
287,ALINČE,79
288,ALINČOVÁ,92
289,ALINOVÁ,35
290,ALIOVÁ,18
291,ALIU,11
292,ALKA,39
293,ALKE,12
294,ALKOVÁ,46
295,ALLEN,28
296,ALLIGEROVÁ,11
297,ALLMER,10
298,ALMAŠI,11
299,ALMÁSSY,11
300,ALMÁSY,10
301,ALMÁŠ,10
302,ALMÁŠI,46
303,ALMÁŠIOVÁ,16
304,ALMER,23
305,ALMEROVÁ,28
306,ALONSO,14
307,ALSTEROVÁ,11
308,ALŠR,11
309,ALT,132
310,ALTENBURGER,22
311,ALTENBURGEROVÁ,19
312,ALTER,23
313,ALTERA,46
314,ALTEROVÁ,54
315,ALTMAN,410
316,ALTMANN,193
317,ALTMANNOVÁ,189
318,ALTMANOVÁ,447
319,ALTNER,37
320,ALTNEROVÁ,36
321,ALTOF,10
322,ALTOVÁ,134
323,ALTRICHTER,79
324,ALTRICHTEROVÁ,60
325,ALTSCHMIED,17
326,ALTSCHMIEDOVÁ,19
327,ALTSCHUL,11
328,ALTSCHULOVÁ,10
329,ALTŠMÍD,10
330,ALTURBAN,11
331,ALTURBANOVÁ,19
332,ALUŠÍK,10
333,ALVAREZ,32
334,ALVAREZOVÁ,29
335,AMAN,20
336,AMANATIDU,10
337,AMANOVÁ,16
338,AMBLER,31
339,AMBLEROVÁ,27
340,AMBRA,13
341,AMBRO,13
342,AMBROS,209
343,AMBROSI,10
344,AMBROSOVÁ,210
345,AMBROVÁ,26
346,AMBROZ,196
347,AMBROZEK,117
348,AMBROZKOVÁ,115
349,AMBROZOVÁ,220
350,AMBROŽ,1042
351,AMBROŽOVÁ,1085
352,AMBRÓŠ,10
353,AMBRÓZ,13
354,AMBRÓZOVÁ,11
355,AMBRUS,35
356,AMBRUSOVÁ,31
357,AMBRUŠ,18
358,AMBRUŠOVÁ,18
359,AMBRUZ,41
360,AMBRUZOVÁ,45
361,AMBRŮZ,53
362,AMBRŮZOVÁ,67
363,AMBRŮŽEK,32
364,AMBRŮŽKOVÁ,37
365,AMENT,18
366,AMENTOVÁ,19
367,AMER,10
368,AMERLING,17
369,AMERLINGOVÁ,16
370,AMCHA,60
371,AMCHOVÁ,70
372,AMIN,11
373,AMIRI,15
374,AMLER,101
375,AMLEROVÁ,99
376,AMMER,54
377,AMMERLING,10
378,AMMEROVÁ,49
379,AMORT,42
380,AMORTOVÁ,34
381,AMPAPA,30
382,AMPAPOVÁ,36
383,AMRICH,33
384,AMRICHOVÁ,30
385,ANČINCOVÁ,85
386,ANČINEC,83
387,ANČÍK,12
388,ANČÍKOVÁ,13
389,ANDEL,32
390,ANDELOVÁ,33
391,ANDELT,23
392,ANDELTOVÁ,26
393,ANDER,64
394,ANDERKA,14
395,ANDERKOVÁ,23
396,ANDERL,12
397,ANDERLA,24
398,ANDERLE,448
399,ANDERLOVÁ,472
400,ANDEROVÁ,55
401,ANDERS,137
402,ANDERSEN,22
403,ANDERSON,39
404,ANDERSONOVÁ,12
405,ANDERSOVÁ,121
406,ANDERSSON,10
407,ANDERT,32
408,ANDERTOVÁ,33
409,ANDĚL,1214
410,ANDĚLOVÁ,1270
411,ANDĚRA,49
412,ANDĚROVÁ,50
413,ANDIEL,10
414,ANDIELOVÁ,14
415,ANDLA,12
416,ANDLOVÁ,21
417,ANDONOV,19
418,ANDOVÁ,16
419,ANDÖRFER,17
420,ANDÖRFEROVÁ,21
421,ANDR,110
422,ANDRAS,10
423,ANDRASCHKO,27
424,ANDRASCHKOVÁ,17
425,ANDRAŠČÍK,13
426,ANDRAŠČÍKOVÁ,21
427,ANDRAŠI,19
428,ANDRAŠIOVÁ,15
429,ANDRAŠKO,47
430,ANDRAŠKOVÁ,47
431,ANDRAŠOVSKÝ,10
432,ANDRÁS,22
433,ANDRÁSOVÁ,26
434,ANDRÁŠ,40
435,ANDRÁŠEK,50
436,ANDRÁŠI,36
437,ANDRÁŠIK,45
438,ANDRÁŠIKOVÁ,30
439,ANDRÁŠIOVÁ,26
440,ANDRÁŠKO,35
441,ANDRÁŠKOVÁ,86
442,ANDRÁŠOVÁ,51
443,ANDREAS,79
444,ANDREASOVÁ,70
445,ANDREE,26
446,ANDREEOVÁ,11
447,ANDREEV,16
448,ANDREEVOVÁ,27
449,ANDREJ,21
450,ANDREJCO,26
451,ANDREJCOVÁ,17
452,ANDREJČÁK,14
453,ANDREJČÁKOVÁ,19
454,ANDREJEV,10
455,ANDREJCH,15
456,ANDREJCHOVÁ,23
457,ANDREJKO,31
458,ANDREJKOVÁ,47
459,ANDREJKOVIČ,17
460,ANDREJKOVIČOVÁ,16
461,ANDREJOVÁ,24
462,ANDREJOVSKÁ,20
463,ANDREJOVSKÝ,17
464,ANDREJS,93
465,ANDREJSEK,39
466,ANDREJSKOVÁ,46
467,ANDREJSOVÁ,101
468,ANDREJŠÍ,11
469,ANDREOVSKÁ,22
470,ANDREOVSKÝ,29
471,ANDRES,293
472,ANDRESEK,11
473,ANDRESÍK,25
474,ANDRESÍKOVÁ,22
475,ANDRESKA,13
476,ANDRESKOVÁ,23
477,ANDRESOVÁ,300
478,ANDREŠIČ,16
479,ANDREŠIČOVÁ,13
480,ANDREWS,18
481,ANDRÉ,95
482,ANDRÉOVÁ,46
483,ANDRÉS,49
484,ANDRÉSOVÁ,40
485,ANDRIESEI,10
486,ANDRIS,39
487,ANDRISOVÁ,34
488,ANDRLA,75
489,ANDRLE,1154
490,ANDRLÍK,474
491,ANDRLÍKOVÁ,487
492,ANDRLOVÁ,1286
493,ANDRONIKIDU,13
494,ANDROVÁ,117
495,ANDRS,19
496,ANDRSOVÁ,21
497,ANDRŠ,406
498,ANDRŠOVÁ,420
499,ANDRŠT,11
500,ANDRŠTOVÁ,17
501,ANDRT,88
502,ANDRTOVÁ,97
503,ANDRUSIV,14
504,ANDRUSIVOVÁ,16
505,ANDRUSOVÁ,11
506,ANDRUŠÍK,24
507,ANDRUŠÍKOVÁ,22
508,ANDRUŠKOVÁ,16
509,ANDRYS,117
510,ANDRYSEK,10
511,ANDRYSÍK,72
512,ANDRYSÍKOVÁ,76
513,ANDRYSOVÁ,127
514,ANDRÝS,106
515,ANDRÝSEK,636
516,ANDRÝSKOVÁ,696
517,ANDRÝSOVÁ,119
518,ANDRŽ,14
519,ANDRŽOVÁ,11
520,ANELT,13
521,ANELTOVÁ,14
522,ANFT,14
523,ANFTOVÁ,15
524,ANGELIS,30
525,ANGELISOVÁ,23
526,ANGELOV,56
527,ANGELOVA,19
528,ANGELOVÁ,22
529,ANGELOVIČ,21
530,ANGELOVIČOVÁ,19
531,ANGELOVOVÁ,16
532,ANGER,87
533,ANGERMAYER,16
534,ANGERMAYEROVÁ,12
535,ANGEROVÁ,91
536,ANGLETOVÁ,12
537,ANGR,15
538,ANGROVÁ,10
539,ANGYAL,16
540,ANGYALOVÁ,17
541,ANICHOBEROVÁ,10
542,ANICHOBR,10
543,ANICHOBROVÁ,11
544,ANIOL,24
545,ANIOLOVÁ,22
546,ANLAUF,68
547,ANLAUFOVÁ,66
548,ANOVČÍN,12
549,ANOVČÍNOVÁ,13
550,ANSELMI,11
551,ANSCHLAG,12
552,ANSCHLAGOVÁ,17
553,ANSORGE,83
554,ANSORGOVÁ,68
555,ANTAL,183
556,ANTALA,88
557,ANTALÍK,23
558,ANTALÍKOVÁ,26
559,ANTALOVÁ,273
560,ANTÁLEK,31
561,ANTÁLKOVÁ,43
562,ANTEL,28
563,ANTELOVÁ,20
564,ANTES,71
565,ANTESOVÁ,56
566,ANTÉNE,23
567,ANTH,14
568,ANTHOVÁ,17
569,ANTIĆ,12
570,ANTL,406
571,ANTLOVÁ,402
